LSOA21CD,LSOA21NM,Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport)
E01011264,Leeds 011A,60.9,66.39,64.13,67.77,79.85,61.36,68.17
E01011265,Leeds 009A,69.23,79.63,67.58,78.67,87.35,68.17,77.25
E01011266,Leeds 008A,64.39,69.69,53.31,66.75,74.03,62.84,67.86
E01011267,Leeds 009B,66.92,76.89,65.47,75.79,83.84,66.26,74.5
E01011268,Leeds 010A,63.4,72.63,62.42,70.82,80.18,62.83,70.6
E01011269,Leeds 011B,62.93,71.3,69.27,72.42,86.65,63.73,72.47
E01011270,Leeds 008B,56.84,62.15,41.46,52.35,54.28,56.64,56.06
E01011271,Leeds 009C,67.57,76.86,62.79,73.48,80.76,66.58,73.48
E01011272,Leeds 009D,63.93,75.57,59.05,69.07,77.22,63.44,70.16
E01011273,Leeds 010B,63.41,75.34,65.51,72.14,84.99,63.44,72.66
E01011274,Leeds 010C,63.51,73.94,69.89,72.53,87.49,64.63,73.42
E01011275,Leeds 010D,63.23,76.31,61.55,69.4,81.21,63.42,71.23
E01011276,Leeds 011C,62.48,72.51,66.33,68.8,82.72,64.22,70.9
E01011277,Leeds 014A,60.34,70.98,53.31,61.36,70.02,61.12,64.84
E01011278,Leeds 014B,63.45,72.34,61.64,67.05,80.14,64.79,70.1
E01011279,Leeds 008C,66.73,72.69,61.24,72.57,79.49,65.62,71.92
E01011280,Leeds 008D,67.36,72.58,58.19,70.71,79.22,65.99,71.64
E01011281,Leeds 059A,71.29,66.57,65.64,68.61,80.23,71.89,72.54
E01011282,Leeds 059B,71.8,73.73,76.38,73.89,88.53,72.16,77.27
E01011283,Leeds 059C,73.12,72.87,73.25,73.24,82.94,73.57,76
E01011284,Leeds 071A,74.96,76.73,79.81,81.26,92.41,75.35,81.27
E01011286,Leeds 059D,72.91,75.15,76.15,73.82,85.3,73.41,77.11
E01011287,Leeds 067B,73.12,72.07,68.73,70.68,81.3,73.36,74.86
E01011292,Leeds 071B,74.72,78.11,82.85,81.87,94.9,74.71,82.22
E01011293,Leeds 071C,75.36,78.49,81.99,82.2,93.97,75.51,82.32
E01011294,Leeds 071D,75.04,76.35,79.01,78.46,89.6,74.87,80.01
E01011295,Leeds 059E,71.2,70.03,69.56,69.8,83.51,71.76,74.25
E01011296,Leeds 030A,52.52,48.71,32.85,48.15,46.16,54.03,49.22
E01011297,Leeds 030B,54.84,47.98,35.97,45.08,44.53,55.3,49.13
E01011298,Leeds 088A,64.27,50.37,41.25,47.4,51.67,61.68,55.31
E01011299,Leeds 088B,53.61,57.55,48.34,56.61,59.43,55.78,56.47
E01011300,Leeds 089A,61.28,68.33,57.61,58.77,69.44,60.99,64.28
E01011301,Leeds 089B,60.59,68.96,60.95,61.23,72.13,60.93,65.37
E01011302,Leeds 088C,59.2,66.26,59.28,59.45,67.85,59.3,62.93
E01011303,Leeds 088D,59.09,67.78,59.76,63.55,71.21,59.5,64.68
E01011304,Leeds 089C,58.28,68.55,59.14,65.01,71.75,59.21,64.88
E01011305,Leeds 089D,57.24,67.57,56.46,62.84,68.33,58.69,63.05
E01011306,Leeds 089E,56.81,64.55,53.44,57.3,64.49,57.79,60.37
E01011307,Leeds 103A,58.18,68.06,57.84,65.14,69.9,59.28,64.28
E01011308,Leeds 103B,57.44,68.66,53.66,62.97,66.8,58.6,62.81
E01011309,Leeds 030C,48.24,43.88,28.87,42.77,38.73,50.93,43.96
E01011310,Leeds 030D,47.45,44.17,26.92,41.24,33.56,52.51,42.28
E01011311,Leeds 022A,51.95,33.75,29.29,37.26,31.05,55.22,40.96
E01011312,Leeds 086A,75.11,83.66,80.26,82.47,95.53,74.7,83.42
E01011313,Leeds 091A,72.95,78.66,74.72,76.7,89.06,71.65,78.91
E01011314,Leeds 091B,73.27,78.56,75.35,78.2,90.41,72.1,79.63
E01011315,Leeds 090A,72.79,78.64,75.8,75.81,87,71.6,78.23
E01011316,Leeds 086B,74.53,82.48,78.39,79.9,93.58,73.94,82.01
E01011317,Leeds 090B,72.96,72.94,68.7,70.63,76.78,71.79,73.67
E01011318,Leeds 090C,73.58,68.78,63.97,68.35,71.07,72.63,71.24
E01011319,Leeds 091C,73.62,79.09,74.71,74.86,89.77,72.79,79.17
E01011320,Leeds 091D,73.29,79.07,76.2,74.12,90.18,72.48,79.09
E01011321,Leeds 090D,72.79,75.94,75.26,71.48,86.81,71.85,77.05
E01011322,Leeds 091E,72.05,73.64,71.27,67.94,83.02,70.9,74.69
