id,name,lon,lat,jobs
E01004766,Bolton 005A,-2.43687,53.59974,700
E01004767,Bolton 005B,-2.42651,53.59939,600
E01004768,Bolton 001A,-2.45444,53.61474,200
E01004769,Bolton 003A,-2.42554,53.61094,125
E01004770,Bolton 003B,-2.42349,53.60523,250
E01004771,Bolton 003C,-2.43441,53.61076,300
E01004772,Bolton 005C,-2.4437,53.60719,75
E01004773,Bolton 003D,-2.43146,53.60549,150
E01004774,Bolton 005D,-2.43799,53.60292,175
E01004775,Bolton 014A,-2.5173,53.56983,8000
E01004776,Bolton 031A,-2.53702,53.55871,4000
E01004777,Bolton 004A,-2.55214,53.5975,900
E01004778,Bolton 009A,-2.58766,53.5964,200
E01004779,Bolton 007A,-2.55896,53.59587,125
E01004780,Bolton 009B,-2.60951,53.59213,900
E01004781,Bolton 007B,-2.54383,53.58725,8000
E01004782,Bolton 009C,-2.58498,53.58948,125
E01004783,Bolton 009D,-2.57437,53.58164,450
E01004784,Bolton 006A,-2.38696,53.5969,50
E01004785,Bolton 006B,-2.38726,53.59327,450
E01004786,Bolton 006C,-2.40022,53.59909,50
E01004787,Bolton 013A,-2.38609,53.58954,225
E01004788,Bolton 002A,-2.39873,53.61115,125
E01004789,Bolton 006D,-2.38423,53.61747,150
E01004790,Bolton 002B,-2.40197,53.6052,400
E01004791,Bolton 006E,-2.38887,53.60368,400
E01004792,Bolton 006F,-2.37908,53.59692,100
E01004793,Bolton 013B,-2.38985,53.58698,125
E01004794,Bolton 013C,-2.39611,53.59104,75
E01004795,Bolton 013D,-2.38032,53.58396,1000
E01004796,Bolton 019A,-2.39334,53.57873,350
E01004797,Bolton 013E,-2.39389,53.58335,75
E01004798,Bolton 019B,-2.38272,53.57892,500
E01004799,Bolton 019C,-2.38011,53.57696,125
E01004800,Bolton 019D,-2.37716,53.57305,40
E01004801,Bolton 019E,-2.39671,53.57334,30
E01004802,Bolton 010A,-2.41527,53.59951,100
E01004803,Bolton 001B,-2.43825,53.63794,700
E01004804,Bolton 001C,-2.43648,53.62608,150
E01004805,Bolton 002C,-2.41261,53.62089,125
E01004806,Bolton 002D,-2.41507,53.61431,600
E01004807,Bolton 001D,-2.42641,53.62174,175
E01004808,Bolton 001E,-2.43348,53.61834,350
E01004809,Bolton 003E,-2.42255,53.61554,225
E01004810,Bolton 002E,-2.41376,53.60736,500
E01004811,Bolton 022A,-2.42617,53.56529,1250
E01004812,Bolton 022B,-2.41187,53.56469,3000
E01004813,Bolton 022C,-2.42724,53.55866,200
E01004814,Bolton 027A,-2.39981,53.56049,500
E01004815,Bolton 022D,-2.42463,53.56172,100
E01004816,Bolton 029A,-2.41518,53.55943,75
E01004817,Bolton 022E,-2.41932,53.57131,4500
E01004818,Bolton 017A,-2.41649,53.57717,300
E01004819,Bolton 017B,-2.40852,53.57268,125
E01004820,Bolton 011A,-2.4359,53.59027,250
E01004822,Bolton 016B,-2.43168,53.58898,1000
