id,opportunity,percentile,cutoff,accessibility
E01011264,jobs,50,30,1575
E01011264,jobs,50,45,9675
E01011264,jobs,50,60,19675
E01011265,jobs,50,30,8675
E01011265,jobs,50,45,16650
E01011265,jobs,50,60,30225
E01011266,jobs,50,30,800
E01011266,jobs,50,45,800
E01011266,jobs,50,60,800
E01011267,jobs,50,30,3525
E01011267,jobs,50,45,10175
E01011267,jobs,50,60,16575
E01011268,jobs,50,30,325
E01011268,jobs,50,45,9775
E01011268,jobs,50,60,16575
E01011269,jobs,50,30,1575
E01011269,jobs,50,45,9675
E01011269,jobs,50,60,19675
E01011270,jobs,50,30,0
E01011270,jobs,50,45,0
E01011270,jobs,50,60,0
E01011271,jobs,50,30,3775
E01011271,jobs,50,45,10975
E01011271,jobs,50,60,15900
E01011272,jobs,50,30,2950
E01011272,jobs,50,45,12300
E01011272,jobs,50,60,23000
E01011273,jobs,50,30,8775
E01011273,jobs,50,45,14100
E01011273,jobs,50,60,26075
E01011274,jobs,50,30,5850
E01011274,jobs,50,45,20425
E01011274,jobs,50,60,48300
E01011275,jobs,50,30,7975
E01011275,jobs,50,45,14000
E01011275,jobs,50,60,26075
E01011276,jobs,50,30,6650
E01011276,jobs,50,45,26225
E01011276,jobs,50,60,111600
E01011277,jobs,50,30,2300
E01011277,jobs,50,45,6875
E01011277,jobs,50,60,23800
E01011278,jobs,50,30,11025
E01011278,jobs,50,45,26500
E01011278,jobs,50,60,109290
E01011279,jobs,50,30,300
E01011279,jobs,50,45,300
E01011279,jobs,50,60,300
E01011280,jobs,50,30,3725
E01011280,jobs,50,45,10175
E01011280,jobs,50,60,15900
E01011281,jobs,50,30,825
E01011281,jobs,50,45,6100
E01011281,jobs,50,60,77725
E01011282,jobs,50,30,6025
E01011282,jobs,50,45,71870
E01011282,jobs,50,60,291685
E01011283,jobs,50,30,11900
E01011283,jobs,50,45,227765
E01011283,jobs,50,60,389980
E01011284,jobs,50,30,11050
E01011284,jobs,50,45,150590
E01011284,jobs,50,60,299325
E01011286,jobs,50,30,14175
E01011286,jobs,50,45,216830
E01011286,jobs,50,60,388205
E01011287,jobs,50,30,11375
E01011287,jobs,50,45,69530
E01011287,jobs,50,60,282950
E01011292,jobs,50,30,94490
E01011292,jobs,50,45,251170
E01011292,jobs,50,60,386035
E01011293,jobs,50,30,115825
E01011293,jobs,50,45,276995
E01011293,jobs,50,60,414925
E01011294,jobs,50,30,49500
E01011294,jobs,50,45,244645
E01011294,jobs,50,60,361580
E01011295,jobs,50,30,4450
E01011295,jobs,50,45,45630
E01011295,jobs,50,60,276685
E01011296,jobs,50,30,450
E01011296,jobs,50,45,450
E01011296,jobs,50,60,450
E01011297,jobs,50,30,0
E01011297,jobs,50,45,0
E01011297,jobs,50,60,0
E01011298,jobs,50,30,0
E01011298,jobs,50,45,0
E01011298,jobs,50,60,0
E01011299,jobs,50,30,600
E01011299,jobs,50,45,600
E01011299,jobs,50,60,600
E01011300,jobs,50,30,400
E01011300,jobs,50,45,24335
E01011300,jobs,50,60,42760
E01011301,jobs,50,30,2060
E01011301,jobs,50,45,25135
E01011301,jobs,50,60,47165
E01011302,jobs,50,30,525
E01011302,jobs,50,45,4585
E01011302,jobs,50,60,32710
E01011303,jobs,50,30,1125
E01011303,jobs,50,45,24735
E01011303,jobs,50,60,46835
E01011304,jobs,50,30,1400
E01011304,jobs,50,45,29360
E01011304,jobs,50,60,57065
E01011305,jobs,50,30,1150
E01011305,jobs,50,45,9360
E01011305,jobs,50,60,45440
E01011306,jobs,50,30,75
E01011306,jobs,50,45,75
E01011306,jobs,50,60,75
E01011307,jobs,50,30,400
E01011307,jobs,50,45,8450
E01011307,jobs,50,60,31305
E01011308,jobs,50,30,3350
E01011308,jobs,50,45,17565
E01011308,jobs,50,60,57890
E01011309,jobs,50,30,350
E01011309,jobs,50,45,350
E01011309,jobs,50,60,8150
E01011310,jobs,50,30,200
E01011310,jobs,50,45,950
E01011310,jobs,50,60,16125
E01011311,jobs,50,30,350
E01011311,jobs,50,45,350
E01011311,jobs,50,60,350
E01011312,jobs,50,30,102490
E01011312,jobs,50,45,270840
E01011312,jobs,50,60,380035
E01011313,jobs,50,30,19215
E01011313,jobs,50,45,72115
E01011313,jobs,50,60,284790
E01011314,jobs,50,30,10965
E01011314,jobs,50,45,111490
E01011314,jobs,50,60,301390
E01011315,jobs,50,30,12465
E01011315,jobs,50,45,81715
E01011315,jobs,50,60,289870
E01011316,jobs,50,30,53665
E01011316,jobs,50,45,239090
E01011316,jobs,50,60,365735
E01011317,jobs,50,30,62525
E01011317,jobs,50,45,223790
E01011317,jobs,50,60,364870
E01011318,jobs,50,30,18625
E01011318,jobs,50,45,116515
E01011318,jobs,50,60,311670
E01011319,jobs,50,30,56540
E01011319,jobs,50,45,244465
E01011319,jobs,50,60,371980
E01011320,jobs,50,30,56540
E01011320,jobs,50,45,208765
E01011320,jobs,50,60,360320
E01011321,jobs,50,30,20390
E01011321,jobs,50,45,143590
E01011321,jobs,50,60,310395
E01011322,jobs,50,30,13440
E01011322,jobs,50,45,136890
E01011322,jobs,50,60,292325
E01011323,jobs,50,30,5700
E01011323,jobs,50,45,45700
E01011323,jobs,50,60,288685
E01011324,jobs,50,30,6350
E01011324,jobs,50,45,138020
E01011324,jobs,50,60,321070
E01011325,jobs,50,30,2325
E01011325,jobs,50,45,12850
E01011325,jobs,50,60,160745
E01011326,jobs,50,30,9700
E01011326,jobs,50,45,133170
E01011326,jobs,50,60,276535
E01011327,jobs,50,30,275
E01011327,jobs,50,45,4325
E01011327,jobs,50,60,24915
E01011328,jobs,50,30,9800
E01011328,jobs,50,45,39440
E01011328,jobs,50,60,244995
E01011329,jobs,50,30,4625
E01011329,jobs,50,45,32080
E01011329,jobs,50,60,208615
E01011330,jobs,50,30,875
E01011330,jobs,50,45,22240
E01011330,jobs,50,60,155930
E01011331,jobs,50,30,4800
E01011331,jobs,50,45,46170
E01011331,jobs,50,60,294860
E01011332,jobs,50,30,4150
E01011332,jobs,50,45,30995
E01011332,jobs,50,60,225060
E01011333,jobs,50,30,7000
E01011333,jobs,50,45,35345
E01011333,jobs,50,60,268685
E01011334,jobs,50,30,14750
E01011334,jobs,50,45,79370
E01011334,jobs,50,60,299110
E01011335,jobs,50,30,13040
E01011335,jobs,50,45,36030
E01011335,jobs,50,60,263890
E01011336,jobs,50,30,6375
E01011336,jobs,50,45,76170
E01011336,jobs,50,60,298285
E01011337,jobs,50,30,10675
E01011337,jobs,50,45,64365
E01011337,jobs,50,60,267570
E01011338,jobs,50,30,172900
E01011338,jobs,50,45,330785
E01011338,jobs,50,60,406770
E01011339,jobs,50,30,32150
E01011339,jobs,50,45,209505
E01011339,jobs,50,60,333180
E01011340,jobs,50,30,16000
E01011340,jobs,50,45,83945
E01011340,jobs,50,60,255205
E01011341,jobs,50,30,58800
E01011341,jobs,50,45,182085
E01011341,jobs,50,60,325080
E01011342,jobs,50,30,15925
E01011342,jobs,50,45,85870
E01011342,jobs,50,60,276285
E01011343,jobs,50,30,7825
E01011343,jobs,50,45,130310
E01011343,jobs,50,60,312555
E01011344,jobs,50,30,72025
E01011344,jobs,50,45,247045
E01011344,jobs,50,60,351310
E01011345,jobs,50,30,24400
E01011345,jobs,50,45,136295
E01011345,jobs,50,60,294100
E01011346,jobs,50,30,18500
E01011346,jobs,50,45,173635
E01011346,jobs,50,60,323855
E01011347,jobs,50,30,72225
E01011347,jobs,50,45,225405
E01011347,jobs,50,60,350830
E01011348,jobs,50,30,73260
E01011348,jobs,50,45,260660
E01011348,jobs,50,60,369155
E01011349,jobs,50,30,78400
E01011349,jobs,50,45,260285
E01011349,jobs,50,60,382070
E01011350,jobs,50,30,61595
E01011350,jobs,50,45,214955
E01011350,jobs,50,60,330195
E01011351,jobs,50,30,12525
E01011351,jobs,50,45,121295
E01011351,jobs,50,60,289805
E01011352,jobs,50,30,73445
E01011352,jobs,50,45,250355
