LSOA21CD,LSOA21NM,jobs_accessible_30min_bus,jobs_accessible_45min_bus,jobs_accessible_60min_bus
E01011264,Leeds 011A,1575,9675,19675
E01011265,Leeds 009A,8675,16650,30225
E01011266,Leeds 008A,800,800,800
E01011267,Leeds 009B,3525,10175,16575
E01011268,Leeds 010A,325,9775,16575
E01011269,Leeds 011B,1575,9675,19675
E01011270,Leeds 008B,0,0,0
E01011271,Leeds 009C,3775,10975,15900
E01011272,Leeds 009D,2950,12300,23000
E01011273,Leeds 010B,8775,14100,26075
E01011274,Leeds 010C,5850,20425,48300
E01011275,Leeds 010D,7975,14000,26075
E01011276,Leeds 011C,6650,26225,111600
E01011277,Leeds 014A,2300,6875,23800
E01011278,Leeds 014B,11025,26500,109290
E01011279,Leeds 008C,300,300,300
E01011280,Leeds 008D,3725,10175,15900
E01011281,Leeds 059A,825,6100,77725
E01011282,Leeds 059B,6025,71870,291685
E01011283,Leeds 059C,11900,227765,389980
E01011284,Leeds 071A,11050,150590,299325
E01011286,Leeds 059D,14175,216830,388205
E01011287,Leeds 067B,11375,69530,282950
E01011292,Leeds 071B,94490,251170,386035
E01011293,Leeds 071C,115825,276995,414925
E01011294,Leeds 071D,49500,244645,361580
E01011295,Leeds 059E,4450,45630,276685
E01011296,Leeds 030A,450,450,450
E01011297,Leeds 030B,0,0,0
E01011298,Leeds 088A,0,0,0
E01011299,Leeds 088B,600,600,600
E01011300,Leeds 089A,400,24335,42760
E01011301,Leeds 089B,2060,25135,47165
E01011302,Leeds 088C,525,4585,32710
E01011303,Leeds 088D,1125,24735,46835
E01011304,Leeds 089C,1400,29360,57065
E01011305,Leeds 089D,1150,9360,45440
E01011306,Leeds 089E,75,75,75
E01011307,Leeds 103A,400,8450,31305
E01011308,Leeds 103B,3350,17565,57890
E01011309,Leeds 030C,350,350,8150
E01011310,Leeds 030D,200,950,16125
E01011311,Leeds 022A,350,350,350
E01011312,Leeds 086A,102490,270840,380035
E01011313,Leeds 091A,19215,72115,284790
E01011314,Leeds 091B,10965,111490,301390
E01011315,Leeds 090A,12465,81715,289870
E01011316,Leeds 086B,53665,239090,365735
E01011317,Leeds 090B,62525,223790,364870
E01011318,Leeds 090C,18625,116515,311670
E01011319,Leeds 091C,56540,244465,371980
E01011320,Leeds 091D,56540,208765,360320
E01011321,Leeds 090D,20390,143590,310395
E01011322,Leeds 091E,13440,136890,292325
E01011323,Leeds 051A,5700,45700,288685
E01011324,Leeds 046A,6350,138020,321070
E01011325,Leeds 046B,2325,12850,160745
E01011326,Leeds 046C,9700,133170,276535
E01011327,Leeds 052A,275,4325,24915
E01011328,Leeds 052B,9800,39440,244995
E01011329,Leeds 051B,4625,32080,208615
E01011330,Leeds 051C,875,22240,155930
E01011331,Leeds 058A,4800,46170,294860
E01011332,Leeds 046D,4150,30995,225060
E01011333,Leeds 051D,7000,35345,268685
E01011334,Leeds 058B,14750,79370,299110
E01011335,Leeds 052C,13040,36030,263890
E01011336,Leeds 058C,6375,76170,298285
E01011337,Leeds 058D,10675,64365,267570
