LSOA21CD,LSOA21NM,no_car_household_pct,imd_decile,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,low_dft_accessibility,low_ptal_accessibility,low_cumulative_accessibility,low_accessibility_method_count,low_accessibility_methods,lowest_accessibility_percentile
E01032497,Leeds 099E,42.5867507886435,2,41.6837782340862,19.7125256673511,11.4989733059548,FALSE,TRUE,TRUE,2,PTAL + Cumulative,11.4989733059548
E01011378,Leeds 013C,42.6323319027182,1,22.7926078028747,34.9075975359343,14.476386036961,TRUE,FALSE,TRUE,2,DfT + Cumulative,14.476386036961
E01035047,Leeds 082H,50.1577287066246,3,96.7145790554415,0.82135523613963,96.7145790554415,FALSE,TRUE,FALSE,1,PTAL only,0.82135523613963
E01011426,Leeds 048B,41.7670682730924,1,82.1355236139631,2.6694045174538,87.8850102669405,FALSE,TRUE,FALSE,1,PTAL only,2.6694045174538
E01011375,Leeds 086D,53.9797395079595,1,86.3449691991787,3.49075975359343,78.8501026694045,FALSE,TRUE,FALSE,1,PTAL only,3.49075975359343
E01011374,Leeds 085D,53.7688442211055,1,92.7104722792608,6.16016427104723,94.4558521560575,FALSE,TRUE,FALSE,1,PTAL only,6.16016427104723
E01011449,Leeds 054E,54.6341463414634,3,91.170431211499,7.39219712525667,87.2689938398357,FALSE,TRUE,FALSE,1,PTAL only,7.39219712525667
E01011372,Leeds 086C,53.516295025729,1,90.3490759753593,7.59753593429158,89.9383983572895,FALSE,TRUE,FALSE,1,PTAL only,7.59753593429158
E01011625,Leeds 075C,49.5212038303694,1,83.7782340862423,9.03490759753593,77.6180698151951,FALSE,TRUE,FALSE,1,PTAL only,9.03490759753593
E01011354,Leeds 038A,45.8715596330275,1,57.5975359342916,9.85626283367557,69.8151950718686,FALSE,TRUE,FALSE,1,PTAL only,9.85626283367557
E01011667,Leeds 050D,46.0405156537753,1,59.1375770020534,13.1416837782341,63.6550308008214,FALSE,TRUE,FALSE,1,PTAL only,13.1416837782341
E01011347,Leeds 065B,60.4591836734694,1,83.5728952772074,14.0657084188912,82.3408624229979,FALSE,TRUE,FALSE,1,PTAL only,14.0657084188912
E01011430,Leeds 053A,45.7731958762887,1,80.082135523614,18.8911704312115,76.5913757700205,FALSE,TRUE,FALSE,1,PTAL only,18.8911704312115
E01011657,Leeds 035B,42.7392739273927,1,39.0143737166324,34.394250513347,19.7125256673511,FALSE,FALSE,TRUE,1,Cumulative only,19.7125256673511
E01011626,Leeds 075D,52.3890784982935,2,90.1437371663244,21.7659137577002,86.8583162217659,FALSE,TRUE,FALSE,1,PTAL only,21.7659137577002
