LSOA21CD,LSOA21NM,dft_business_raw,dft_overall_raw,ptal_inspired_raw,cumulative_30min_raw,cumulative_45min_raw,cumulative_60min_raw,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,dft_overall_percentile,cumulative_30min_percentile,cumulative_60min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01011264,Leeds 011A,60.9,68.17,33.6071184120465,1575,9675,19675,11.088295687885,24.435318275154,19.1991786447639,24.435318275154,20.1232032854209,14.0657084188912,-13.347022587269,-8.11088295687885,5.23613963039014,13.347022587269
E01011265,Leeds 009A,69.23,77.25,62.6967830253251,8675,16650,30225,47.2279260780288,70.0205338809035,25.7700205338809,71.5605749486653,53.7987679671458,16.4271047227926,-22.7926078028747,21.4579055441478,44.2505133470226,44.2505133470226
E01011266,Leeds 008A,64.39,67.86,24.4695414099932,800,800,800,18.6858316221766,13.5523613963039,7.18685831622177,23.305954825462,14.0657084188912,4.31211498973306,5.13347022587269,11.4989733059548,6.36550308008214,11.4989733059548
E01011267,Leeds 009B,66.92,74.5,47.0225872689939,3525,10175,16575,28.952772073922,46.0985626283368,20.0205338809035,56.2628336755647,32.5462012320329,11.9096509240246,-17.1457905544148,8.93223819301848,26.0780287474333,26.0780287474333
E01011268,Leeds 010A,63.4,70.6,41.3415468856947,325,9775,16575,14.7843942505133,36.3449691991786,19.5071868583162,33.8809034907598,8.31622176591376,11.9096509240246,-21.5605749486653,-4.72279260780287,16.8377823408624,21.5605749486653
E01011269,Leeds 011B,62.93,72.47,38.911704312115,1575,9675,19675,13.5523613963039,31.211498973306,19.1991786447639,42.7104722792608,20.1232032854209,14.0657084188912,-17.6591375770021,-5.64681724845996,12.0123203285421,17.6591375770021
E01011270,Leeds 008B,56.84,56.06,6.50239561943874,0,0,0,7.59753593429158,1.23203285420945,0.410677618069815,5.3388090349076,0.513347022587269,0.410677618069815,6.36550308008214,7.18685831622177,0.821355236139631,7.18685831622177
E01011271,Leeds 009C,67.57,73.48,39.8357289527721,3775,10975,15900,33.3675564681725,32.6488706365503,21.3552361396304,49.0759753593429,34.7022587268994,10.9856262833676,0.718685831622182,12.0123203285421,11.2936344969199,12.0123203285421
E01011272,Leeds 009D,63.93,70.16,5.61259411362081,2950,12300,23000,17.6591375770021,0.616016427104723,21.7659137577002,32.3408624229979,29.3634496919918,14.7843942505133,17.0431211498973,-4.10677618069815,-21.1498973305955,21.1498973305955
E01011273,Leeds 010B,63.41,72.66,42.0260095824778,8775,14100,26075,14.9897330595483,37.6796714579055,23.8193018480493,43.9425051334702,54.2094455852156,15.9137577002053,-22.6899383983573,-8.82956878850103,13.8603696098563,22.6899383983573
E01011274,Leeds 010C,63.51,73.42,67.2142368240931,5850,20425,48300,16.4271047227926,75.564681724846,31.6221765913758,48.4599589322382,41.8891170431211,20.7392197125257,-59.1375770020534,-15.1950718685832,43.9425051334702,59.1375770020534
E01011275,Leeds 010D,63.23,71.23,44.798083504449,7975,14000,26075,14.5790554414784,42.5051334702259,23.4086242299795,37.5770020533881,51.7453798767967,15.9137577002053,-27.9260780287474,-8.82956878850103,19.0965092402464,27.9260780287474
E01011276,Leeds 011C,62.48,70.9,55.0992470910336,6650,26225,111600,13.1416837782341,60.2669404517454,39.4250513347023,36.5503080082136,45.9958932238193,31.0061601642711,-47.1252566735113,-26.2833675564682,20.8418891170431,47.1252566735113
E01011277,Leeds 014A,60.34,64.84,27.7207392197125,2300,6875,23800,10.4722792607803,16.4271047227926,14.7843942505133,15.8110882956879,24.6406570841889,14.9897330595483,-5.95482546201232,-4.31211498973306,1.64271047227926,5.95482546201232
E01011278,Leeds 014B,63.45,70.1,58.3162217659138,11025,26500,109290,15.8110882956879,64.0657084188912,40.2464065708419,31.8275154004107,60.1642710472279,30.1848049281314,-48.2546201232033,-24.435318275154,23.8193018480493,48.2546201232033
E01011279,Leeds 008C,66.73,71.92,4.03832991101985,300,300,300,27.4127310061602,0,3.38809034907598,40.6570841889117,7.49486652977413,2.46406570841889,27.4127310061602,24.0246406570842,-3.38809034907598,27.4127310061602
E01011280,Leeds 008D,67.36,71.64,36.0369609856263,3725,10175,15900,31.0061601642711,26.694045174538,20.0205338809035,39.2197125256674,33.8809034907598,10.9856262833676,4.31211498973306,10.9856262833676,6.6735112936345,10.9856262833676
E01011281,Leeds 059A,71.29,72.54,26.009582477755,825,6100,77725,65.2977412731006,14.5790554414784,13.7577002053388,43.3264887063655,14.5790554414784,24.6406570841889,50.7186858316222,51.5400410677618,0.821355236139631,51.5400410677618
E01011282,Leeds 059B,71.8,77.27,54.0041067761807,6025,71870,291685,68.8911704312115,57.700205338809,57.700205338809,72.0739219712526,42.9158110882957,68.3778234086242,11.1909650924025,11.1909650924025,0,11.1909650924025
